order_id,customer_id,order_date,order_status,shipping_address,payment_id,total_amount
ORD-000037,CUST-00499,2025-03-15 00:00:00,Processing,"Dallas, TX, USA",PAY-000037,71.99
ORD-000038,CUST-00223,2025-04-07 00:00:00,Completed,"Houston, TX, USA",PAY-000038,905.17
ORD-000039,CUST-00239,2025-07-10 00:00:00,Completed,"Toronto, ON, Canada",PAY-000039,119.98
ORD-000040,CUST-00437,2025-04-02 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000040,139.95
ORD-000041,CUST-00203,2025-10-20 00:00:00,Completed,"New York, NY, USA",PAY-000041,646.94
ORD-000042,CUST-00067,2025-05-12 00:00:00,Cancelled,"New York, NY, USA",PAY-000042,657.94
ORD-000043,CUST-00048,2025-07-19 00:00:00,Completed,"Houston, TX, USA",PAY-000043,139.99
ORD-000044,CUST-00255,2025-02-15 00:00:00,Completed,"San Antonio, TX, USA",PAY-000044,450.93
ORD-000045,CUST-00215,2025-05-13 00:00:00,Shipped,"Houston, TX, USA",PAY-000045,197.96
ORD-000046,CUST-00177,2025-11-16 00:00:00,Processing,"San Jose, CA, USA",PAY-000046,215.95
ORD-000047,CUST-00272,2025-08-02 00:00:00,Cancelled,"Phoenix, AZ, USA",PAY-000047,124.97
ORD-000048,CUST-00295,2025-08-17 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000048,398.94
ORD-000049,CUST-00486,2025-11-17 00:00:00,Processing,"Chicago, IL, USA",PAY-000049,153.07
ORD-000050,CUST-00029,2025-05-30 00:00:00,Processing,"San Jose, CA, USA",PAY-000050,757.96
ORD-000051,CUST-00368,2025-05-01 00:00:00,Cancelled,"Dallas, TX, USA",PAY-000051,495.2
ORD-000052,CUST-00301,2025-03-23 00:00:00,Completed,"Dallas, TX, USA",PAY-000052,947.67
ORD-000053,CUST-00194,2025-07-07 00:00:00,Shipped,"London, ENG, UK",PAY-000053,228.55
ORD-000054,CUST-00328,2025-11-16 00:00:00,Completed,"Toronto, ON, Canada",PAY-000054,818.23
ORD-000055,CUST-00132,2025-03-27 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000055,71.98
ORD-000056,CUST-00453,2025-08-30 00:00:00,Completed,"Dallas, TX, USA",PAY-000056,835.44
ORD-000057,CUST-00375,2025-03-10 00:00:00,Processing,"San Antonio, TX, USA",PAY-000057,404.97
ORD-000058,CUST-00483,2025-04-25 00:00:00,Processing,"San Diego, CA, USA",PAY-000058,543.42
ORD-000059,CUST-00202,2025-11-19 00:00:00,Processing,"Houston, TX, USA",PAY-000059,461.94
ORD-000060,CUST-00042,2025-09-30 00:00:00,Cancelled,"San Diego, CA, USA",PAY-000060,71.98
ORD-000061,CUST-00459,2025-06-15 00:00:00,Completed,"London, ENG, UK",PAY-000061,700.91
ORD-000062,CUST-00498,2025-11-28 00:00:00,Completed,"New York, NY, USA",PAY-000062,323.97
ORD-000063,CUST-00244,2025-07-03 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000063,728.93
ORD-000064,CUST-00422,2025-12-18 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000064,1077.23
ORD-000065,CUST-00058,2025-08-31 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000065,326.94
ORD-000066,CUST-00450,2025-08-29 00:00:00,Completed,"New York, NY, USA",PAY-000066,500.92
ORD-000067,CUST-00173,2025-07-05 00:00:00,Completed,"San Diego, CA, USA",PAY-000067,246.94
ORD-000068,CUST-00097,2025-09-14 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000068,198.81
ORD-000069,CUST-00128,2025-02-16 00:00:00,Completed,"Toronto, ON, Canada",PAY-000069,299.97
ORD-000070,CUST-00326,2025-04-04 00:00:00,Shipped,"London, ENG, UK",PAY-000070,143.98
ORD-000071,CUST-00091,2025-09-30 00:00:00,Processing,"Chicago, IL, USA",PAY-000071,929.93
ORD-000072,CUST-00439,2025-05-24 00:00:00,Shipped,"Dallas, TX, USA",PAY-000072,140.95
ORD-000073,CUST-00467,2025-04-08 00:00:00,Shipped,"Philadelphia, PA, USA",PAY-000073,601.31
ORD-000074,CUST-00459,2025-08-11 00:00:00,Cancelled,"London, ENG, UK",PAY-000074,546.42
ORD-000075,CUST-00262,2025-08-10 00:00:00,Processing,"Chicago, IL, USA",PAY-000075,260.43
ORD-000076,CUST-00336,2025-07-02 00:00:00,Completed,"Toronto, ON, Canada",PAY-000076,74.86
ORD-000077,CUST-00336,2025-10-12 00:00:00,Completed,"Toronto, ON, Canada",PAY-000077,629.91
ORD-000078,CUST-00260,2025-07-03 00:00:00,Cancelled,"Toronto, ON, Canada",PAY-000078,44.43
ORD-000079,CUST-00380,2025-06-12 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000079,202.46
ORD-000080,CUST-00216,2025-07-19 00:00:00,Completed,"Chicago, IL, USA",PAY-000080,558.94
ORD-000081,CUST-00446,2025-04-18 00:00:00,Completed,"London, ENG, UK",PAY-000081,554.94
ORD-000082,CUST-00324,2025-05-01 00:00:00,Completed,"San Jose, CA, USA",PAY-000082,379.98
ORD-000083,CUST-00251,2025-03-17 00:00:00,Completed,"New York, NY, USA",PAY-000083,246.43
ORD-000084,CUST-00258,2025-11-28 00:00:00,Completed,"San Antonio, TX, USA",PAY-000084,788.45
ORD-000085,CUST-00462,2025-10-08 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000085,64.98
ORD-000086,CUST-00064,2025-08-06 00:00:00,Shipped,"Dallas, TX, USA",PAY-000086,341.97
ORD-000087,CUST-00305,2025-02-24 00:00:00,Shipped,"London, ENG, UK",PAY-000087,189.99
ORD-000088,CUST-00228,2025-08-13 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000088,334.94
ORD-000089,CUST-00145,2025-03-30 00:00:00,Cancelled,"Phoenix, AZ, USA",PAY-000089,19.99
ORD-000090,CUST-00426,2025-10-25 00:00:00,Completed,"Chicago, IL, USA",PAY-000090,244.97
ORD-000091,CUST-00077,2025-03-18 00:00:00,Cancelled,"Los Angeles, CA, USA",PAY-000091,53.97
ORD-000092,CUST-00330,2025-05-29 00:00:00,Completed,"Toronto, ON, Canada",PAY-000092,402.95
ORD-000093,CUST-00005,2025-04-11 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000093,1034.95
ORD-000094,CUST-00094,2025-03-30 00:00:00,Completed,"Dallas, TX, USA",PAY-000094,696.93
ORD-000095,CUST-00411,2025-11-18 00:00:00,Shipped,"Dallas, TX, USA",PAY-000095,806.92
ORD-000096,CUST-00033,2025-06-13 00:00:00,Shipped,"Los Angeles, CA, USA",PAY-000096,1087.41
ORD-000097,CUST-00247,2025-07-27 00:00:00,Shipped,"Dallas, TX, USA",PAY-000097,187.03
ORD-000098,CUST-00170,2025-06-22 00:00:00,Completed,"Dallas, TX, USA",PAY-000098,212.37
ORD-000099,CUST-00046,2025-10-13 00:00:00,Completed,"San Antonio, TX, USA",PAY-000099,152.94
ORD-000100,CUST-00456,2025-10-18 00:00:00,Processing,"Chicago, IL, USA",PAY-000100,410.96
ORD-000101,CUST-00170,2025-11-13 00:00:00,Cancelled,"Dallas, TX, USA",PAY-000101,373.13
ORD-000102,CUST-00360,2025-03-26 00:00:00,Completed,"San Antonio, TX, USA",PAY-000102,158.94
ORD-000103,CUST-00235,2025-05-08 00:00:00,Shipped,"London, ENG, UK",PAY-000103,230.54
ORD-000104,CUST-00272,2025-02-24 00:00:00,Processing,"Phoenix, AZ, USA",PAY-000104,1549.42
ORD-000105,CUST-00215,2025-12-08 00:00:00,Shipped,"Houston, TX, USA",PAY-000105,108.46
ORD-000106,CUST-00309,2025-10-20 00:00:00,Completed,"London, ENG, UK",PAY-000106,584.46
ORD-000107,CUST-00364,2025-03-31 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000107,341.77
ORD-000108,CUST-00013,2025-08-14 00:00:00,Completed,"Toronto, ON, Canada",PAY-000108,24.99
ORD-000109,CUST-00350,2025-06-08 00:00:00,Completed,"Toronto, ON, Canada",PAY-000109,139.98
ORD-000110,CUST-00417,2025-09-19 00:00:00,Completed,"San Antonio, TX, USA",PAY-000110,603.54
ORD-000111,CUST-00199,2025-09-01 00:00:00,Cancelled,"San Antonio, TX, USA",PAY-000111,291.5
ORD-000112,CUST-00398,2025-05-10 00:00:00,Completed,"San Antonio, TX, USA",PAY-000112,543.92
ORD-000113,CUST-00079,2025-07-15 00:00:00,Processing,"London, ENG, UK",PAY-000113,1282.47
ORD-000114,CUST-00038,2025-07-12 00:00:00,Processing,"San Antonio, TX, USA",PAY-000114,112.17
ORD-000115,CUST-00114,2025-05-20 00:00:00,Shipped,"Philadelphia, PA, USA",PAY-000115,482.45
ORD-000116,CUST-00464,2025-12-25 00:00:00,Processing,"London, ENG, UK",PAY-000116,179.97
ORD-000117,CUST-00013,2025-10-22 00:00:00,Cancelled,"Toronto, ON, Canada",PAY-000117,199.94
ORD-000118,CUST-00086,2025-11-02 00:00:00,Processing,"Phoenix, AZ, USA",PAY-000118,29.99
ORD-000119,CUST-00428,2025-03-25 00:00:00,Completed,"New York, NY, USA",PAY-000119,832.93
ORD-000120,CUST-00209,2025-08-17 00:00:00,Completed,"Dallas, TX, USA",PAY-000120,2168.9
ORD-000121,CUST-00403,2025-07-04 00:00:00,Processing,"Chicago, IL, USA",PAY-000121,89.98
ORD-000122,CUST-00243,2025-04-21 00:00:00,Processing,"San Diego, CA, USA",PAY-000122,135.45
ORD-000123,CUST-00491,2025-02-05 00:00:00,Processing,"San Diego, CA, USA",PAY-000123,296.96
ORD-000124,CUST-00384,2025-07-26 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000124,552.41
ORD-000125,CUST-00344,2025-03-06 00:00:00,Completed,"New York, NY, USA",PAY-000125,350.97
ORD-000126,CUST-00344,2025-05-31 00:00:00,Completed,"New York, NY, USA",PAY-000126,961.04
ORD-000127,CUST-00003,2025-07-10 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000127,450.95
ORD-000128,CUST-00237,2025-09-16 00:00:00,Completed,"Houston, TX, USA",PAY-000128,192.95
ORD-000129,CUST-00417,2025-11-24 00:00:00,Processing,"San Antonio, TX, USA",PAY-000129,1792.39
ORD-000130,CUST-00069,2025-09-25 00:00:00,Processing,"Chicago, IL, USA",PAY-000130,79.98
ORD-000131,CUST-00388,2025-10-21 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000131,126.46
ORD-000132,CUST-00199,2025-09-28 00:00:00,Completed,"San Antonio, TX, USA",PAY-000132,256.47
ORD-000133,CUST-00428,2025-06-14 00:00:00,Processing,"New York, NY, USA",PAY-000133,797.95
ORD-000134,CUST-00193,2025-05-25 00:00:00,Processing,"New York, NY, USA",PAY-000134,418.98
ORD-000135,CUST-00096,2025-04-21 00:00:00,Completed,"London, ENG, UK",PAY-000135,22.49
ORD-000136,CUST-00346,2025-10-03 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000136,317.94
ORD-000137,CUST-00457,2025-11-20 00:00:00,Completed,"San Antonio, TX, USA",PAY-000137,49.98
ORD-000138,CUST-00450,2025-06-25 00:00:00,Completed,"New York, NY, USA",PAY-000138,116.36
ORD-000139,CUST-00086,2025-07-25 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000139,53.98
ORD-000140,CUST-00268,2025-10-16 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000140,413.91
ORD-000141,CUST-00460,2025-09-08 00:00:00,Processing,"San Antonio, TX, USA",PAY-000141,559.92
ORD-000142,CUST-00393,2025-05-30 00:00:00,Cancelled,"New York, NY, USA",PAY-000142,134.97
ORD-000143,CUST-00097,2025-02-02 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000143,56.97
ORD-000144,CUST-00193,2025-05-16 00:00:00,Shipped,"New York, NY, USA",PAY-000144,419.94
ORD-000145,CUST-00314,2025-06-21 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000145,257.76
ORD-000146,CUST-00397,2025-08-22 00:00:00,Shipped,"Philadelphia, PA, USA",PAY-000146,134.95
ORD-000147,CUST-00261,2025-08-24 00:00:00,Cancelled,"Phoenix, AZ, USA",PAY-000147,298.73
ORD-000148,CUST-00422,2025-04-15 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000148,1089.4
ORD-000149,CUST-00225,2025-02-05 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000149,758.91
ORD-000150,CUST-00400,2025-08-23 00:00:00,Completed,"New York, NY, USA",PAY-000150,724.91
ORD-000151,CUST-00477,2025-08-25 00:00:00,Processing,"Philadelphia, PA, USA",PAY-000151,58.49
ORD-000152,CUST-00287,2025-03-09 00:00:00,Processing,"Philadelphia, PA, USA",PAY-000152,509.93
ORD-000153,CUST-00493,2025-09-22 00:00:00,Shipped,"Chicago, IL, USA",PAY-000153,1038.91
ORD-000154,CUST-00359,2025-06-14 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000154,303.92
ORD-000155,CUST-00378,2025-05-13 00:00:00,Completed,"London, ENG, UK",PAY-000155,164.71
ORD-000156,CUST-00472,2025-03-12 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000156,552.03
ORD-000157,CUST-00204,2025-05-24 00:00:00,Cancelled,"Toronto, ON, Canada",PAY-000157,158.95
ORD-000158,CUST-00202,2025-04-30 00:00:00,Completed,"Houston, TX, USA",PAY-000158,188.97
ORD-000159,CUST-00346,2025-05-18 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000159,569.98
ORD-000160,CUST-00138,2025-09-29 00:00:00,Processing,"San Jose, CA, USA",PAY-000160,349.94
ORD-000161,CUST-00093,2025-11-19 00:00:00,Completed,"Dallas, TX, USA",PAY-000161,135.96
ORD-000162,CUST-00413,2025-02-04 00:00:00,Completed,"Toronto, ON, Canada",PAY-000162,300.39
ORD-000163,CUST-00382,2025-07-21 00:00:00,Completed,"Dallas, TX, USA",PAY-000163,440.93
ORD-000164,CUST-00167,2025-10-19 00:00:00,Completed,"San Diego, CA, USA",PAY-000164,571.31
ORD-000165,CUST-00163,2025-06-29 00:00:00,Shipped,"San Jose, CA, USA",PAY-000165,481.34
ORD-000166,CUST-00065,2025-05-31 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000166,222.96
ORD-000167,CUST-00014,2025-08-22 00:00:00,Processing,"Houston, TX, USA",PAY-000167,99.98
ORD-000168,CUST-00159,2025-05-28 00:00:00,Completed,"San Antonio, TX, USA",PAY-000168,181.69
ORD-000169,CUST-00303,2025-12-02 00:00:00,Completed,"Chicago, IL, USA",PAY-000169,233.14
ORD-000170,CUST-00147,2025-09-28 00:00:00,Processing,"Toronto, ON, Canada",PAY-000170,125.98
ORD-000171,CUST-00393,2025-09-08 00:00:00,Cancelled,"New York, NY, USA",PAY-000171,660.98
ORD-000172,CUST-00128,2025-04-24 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000172,568.91
ORD-000173,CUST-00070,2025-06-28 00:00:00,Completed,"San Antonio, TX, USA",PAY-000173,165.34
ORD-000174,CUST-00078,2025-02-07 00:00:00,Completed,"San Antonio, TX, USA",PAY-000174,369.96
ORD-000175,CUST-00137,2025-08-19 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000175,699.93
ORD-000176,CUST-00243,2025-08-18 00:00:00,Shipped,"San Diego, CA, USA",PAY-000176,1028.92
ORD-000177,CUST-00185,2025-02-26 00:00:00,Cancelled,"Philadelphia, PA, USA",PAY-000177,240.95
ORD-000178,CUST-00407,2025-06-21 00:00:00,Processing,"Los Angeles, CA, USA",PAY-000178,39.99
ORD-000179,CUST-00353,2025-12-02 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000179,815.93
ORD-000180,CUST-00065,2025-10-07 00:00:00,Completed,"Toronto, ON, Canada",PAY-000180,228.51
ORD-000181,CUST-00287,2025-06-30 00:00:00,Processing,"Philadelphia, PA, USA",PAY-000181,478.22
ORD-000182,CUST-00420,2025-06-14 00:00:00,Processing,"San Diego, CA, USA",PAY-000182,1405.43
ORD-000183,CUST-00165,2025-03-04 00:00:00,Shipped,"Los Angeles, CA, USA",PAY-000183,565.54
ORD-000184,CUST-00268,2025-03-06 00:00:00,Completed,"Toronto, ON, Canada",PAY-000184,149.98
ORD-000185,CUST-00270,2025-12-16 00:00:00,Shipped,"Philadelphia, PA, USA",PAY-000185,300.93
ORD-000186,CUST-00411,2025-12-24 00:00:00,Completed,"Dallas, TX, USA",PAY-000186,191.94
ORD-000187,CUST-00052,2025-05-29 00:00:00,Processing,"San Jose, CA, USA",PAY-000187,771.18
ORD-000188,CUST-00453,2025-03-25 00:00:00,Completed,"Dallas, TX, USA",PAY-000188,173.49
ORD-000189,CUST-00433,2025-08-09 00:00:00,Completed,"London, ENG, UK",PAY-000189,1048.31
ORD-000190,CUST-00266,2025-04-10 00:00:00,Completed,"New York, NY, USA",PAY-000190,39.99
ORD-000191,CUST-00471,2025-11-10 00:00:00,Processing,"San Antonio, TX, USA",PAY-000191,184.97
ORD-000192,CUST-00456,2025-11-25 00:00:00,Completed,"Chicago, IL, USA",PAY-000192,98.48
ORD-000193,CUST-00250,2025-11-22 00:00:00,Cancelled,"Houston, TX, USA",PAY-000193,94.02
ORD-000194,CUST-00375,2025-11-22 00:00:00,Completed,"San Antonio, TX, USA",PAY-000194,427.49
ORD-000195,CUST-00477,2025-04-02 00:00:00,Cancelled,"Philadelphia, PA, USA",PAY-000195,581.94
ORD-000196,CUST-00157,2025-10-26 00:00:00,Completed,"San Antonio, TX, USA",PAY-000196,306.22
ORD-000197,CUST-00076,2025-04-08 00:00:00,Completed,"San Antonio, TX, USA",PAY-000197,104.97
ORD-000198,CUST-00205,2025-10-14 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000198,138.95
ORD-000199,CUST-00125,2025-03-08 00:00:00,Completed,"Chicago, IL, USA",PAY-000199,423.93
ORD-000200,CUST-00226,2025-02-22 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000200,319.95
ORD-000201,CUST-00379,2025-02-27 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000201,499.96
ORD-000202,CUST-00105,2025-11-06 00:00:00,Processing,"London, ENG, UK",PAY-000202,217.92
ORD-000203,CUST-00031,2025-06-25 00:00:00,Completed,"San Jose, CA, USA",PAY-000203,486.46
ORD-000204,CUST-00195,2025-10-18 00:00:00,Shipped,"Philadelphia, PA, USA",PAY-000204,599.98
ORD-000205,CUST-00257,2025-09-22 00:00:00,Processing,"Los Angeles, CA, USA",PAY-000205,85.49
ORD-000206,CUST-00202,2025-04-21 00:00:00,Completed,"Houston, TX, USA",PAY-000206,837.92
ORD-000207,CUST-00116,2025-04-18 00:00:00,Completed,"Houston, TX, USA",PAY-000207,286.92
ORD-000208,CUST-00442,2025-04-11 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000208,1384.96
ORD-000209,CUST-00392,2025-07-13 00:00:00,Completed,"New York, NY, USA",PAY-000209,253.77
ORD-000210,CUST-00184,2025-03-12 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000210,266.08
ORD-000211,CUST-00017,2025-08-28 00:00:00,Cancelled,"San Jose, CA, USA",PAY-000211,29.98
ORD-000212,CUST-00388,2025-05-15 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000212,72.97
ORD-000213,CUST-00369,2025-07-10 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000213,26.09
ORD-000214,CUST-00266,2025-11-02 00:00:00,Completed,"New York, NY, USA",PAY-000214,45.98
ORD-000215,CUST-00453,2025-07-05 00:00:00,Cancelled,"Dallas, TX, USA",PAY-000215,417.93
ORD-000216,CUST-00370,2025-10-14 00:00:00,Completed,"Toronto, ON, Canada",PAY-000216,1511.95
ORD-000217,CUST-00129,2025-07-15 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000217,166.18
ORD-000218,CUST-00269,2025-08-15 00:00:00,Shipped,"San Diego, CA, USA",PAY-000218,261.82
ORD-000219,CUST-00084,2025-04-15 00:00:00,Completed,"San Jose, CA, USA",PAY-000219,94.98
ORD-000220,CUST-00321,2025-05-03 00:00:00,Completed,"San Antonio, TX, USA",PAY-000220,970.44
ORD-000221,CUST-00112,2025-11-28 00:00:00,Shipped,"New York, NY, USA",PAY-000221,611.42
ORD-000222,CUST-00335,2025-07-28 00:00:00,Completed,"San Jose, CA, USA",PAY-000222,281.46
ORD-000223,CUST-00345,2025-06-25 00:00:00,Processing,"San Jose, CA, USA",PAY-000223,421.96
ORD-000224,CUST-00189,2025-08-13 00:00:00,Cancelled,"New York, NY, USA",PAY-000224,33.98
ORD-000225,CUST-00242,2025-04-09 00:00:00,Completed,"London, ENG, UK",PAY-000225,686.91
ORD-000226,CUST-00219,2025-12-08 00:00:00,Cancelled,"Chicago, IL, USA",PAY-000226,262.58
ORD-000227,CUST-00414,2025-05-03 00:00:00,Processing,"Toronto, ON, Canada",PAY-000227,199.98
ORD-000228,CUST-00378,2025-05-17 00:00:00,Cancelled,"London, ENG, UK",PAY-000228,1167.41
ORD-000229,CUST-00154,2025-10-17 00:00:00,Processing,"San Antonio, TX, USA",PAY-000229,1732.42
ORD-000230,CUST-00170,2025-07-23 00:00:00,Shipped,"Dallas, TX, USA",PAY-000230,917.4
ORD-000231,CUST-00290,2025-07-11 00:00:00,Processing,"Los Angeles, CA, USA",PAY-000231,99.72
ORD-000232,CUST-00497,2025-04-17 00:00:00,Completed,"London, ENG, UK",PAY-000232,299.98
ORD-000233,CUST-00305,2025-03-31 00:00:00,Cancelled,"London, ENG, UK",PAY-000233,625.46
ORD-000234,CUST-00425,2025-07-04 00:00:00,Completed,"Phoenix, AZ, USA",PAY-000234,419.94
ORD-000235,CUST-00398,2025-07-17 00:00:00,Completed,"San Antonio, TX, USA",PAY-000235,86.97
ORD-000236,CUST-00199,2025-10-25 00:00:00,Completed,"San Antonio, TX, USA",PAY-000236,39.99
ORD-000237,CUST-00267,2025-07-09 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000237,1029.68
ORD-000238,CUST-00059,2025-02-07 00:00:00,Processing,"Chicago, IL, USA",PAY-000238,99.72
ORD-000239,CUST-00139,2025-04-13 00:00:00,Shipped,"Chicago, IL, USA",PAY-000239,313.48
ORD-000240,CUST-00015,2025-09-29 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000240,99.98
ORD-000241,CUST-00201,2025-05-02 00:00:00,Shipped,"Phoenix, AZ, USA",PAY-000241,692.95
ORD-000242,CUST-00241,2025-05-29 00:00:00,Completed,"San Jose, CA, USA",PAY-000242,224.8
ORD-000243,CUST-00250,2025-02-15 00:00:00,Completed,"Houston, TX, USA",PAY-000243,1268.41
ORD-000244,CUST-00206,2025-11-29 00:00:00,Completed,"Dallas, TX, USA",PAY-000244,225.95
ORD-000245,CUST-00402,2025-09-10 00:00:00,Processing,"Toronto, ON, Canada",PAY-000245,320.95
ORD-000246,CUST-00421,2025-09-15 00:00:00,Completed,"Los Angeles, CA, USA",PAY-000246,908.95
ORD-000247,CUST-00273,2025-06-29 00:00:00,Completed,"New York, NY, USA",PAY-000247,1183.4
ORD-000248,CUST-00190,2025-11-08 00:00:00,Completed,"Philadelphia, PA, USA",PAY-000248,427.47
ORD-000249,CUST-00121,2025-09-09 00:00:00,Shipped,"Toronto, ON, Canada",PAY-000249,1343.91
ORD-000250,CUST-00432,2025-08-03 00:00:00,Cancelled,"Chicago, IL, USA",PAY-000250,211.94
ORD-000251,CUST-00044,2025-04-11 00:00:00,Shipped,"Dallas, TX, USA",PAY-000251,701.5
ORD-000252,CUST-00218,2025-12-06 00:00:00,Completed,"New York, NY, USA",PAY-000252,847.8
ORD-000253,CUST-00239,2025-10-22 00:00:00,Completed,"Toronto, ON, Canada",PAY-000253,159.98
