return_id,order_id,product_id,return_date,return_reason,refund_amount
RET-00089,ORD-000742,PROD-0019,2025-09-01,Item not as described,94.98
RET-00090,ORD-000745,PROD-0039,2025-02-17,Item not as described,98.97
RET-00091,ORD-000749,PROD-0022,2025-06-20,Changed mind,142.49
RET-00092,ORD-000757,PROD-0048,2025-12-13,Wrong size,21.84
RET-00093,ORD-000779,PROD-0043,2025-08-06,Defective item,23.74
RET-00094,ORD-000787,PROD-0026,2025-10-14,Changed mind,75.98
RET-00095,ORD-000787,PROD-0041,2025-10-16,Item not as described,26.99
RET-00096,ORD-000795,PROD-0050,2025-05-13,Item not as described,854.98
RET-00097,ORD-000815,PROD-0015,2025-11-12,Defective item,29.99
RET-00098,ORD-000825,PROD-0015,2025-05-16,Defective item,28.49
RET-00099,ORD-000825,PROD-0042,2025-05-15,Defective item,189.99
RET-00100,ORD-000830,PROD-0016,2025-06-08,Item not as described,71.99
RET-00101,ORD-000842,PROD-0029,2025-03-08,Wrong size,79.77
RET-00102,ORD-000854,PROD-0009,2025-08-31,Changed mind,34.99
RET-00103,ORD-000863,PROD-0043,2025-03-18,Defective item,49.98
RET-00104,ORD-000864,PROD-0037,2025-08-12,Changed mind,18.99
RET-00105,ORD-000870,PROD-0047,2025-03-16,Defective item,48.57
RET-00106,ORD-000879,PROD-0025,2025-10-06,Wrong size,341.97
RET-00107,ORD-000896,PROD-0037,2025-02-08,Defective item,54.12
RET-00108,ORD-000899,PROD-0026,2025-04-28,Item not as described,107.97
RET-00109,ORD-000913,PROD-0025,2025-12-26,Item not as described,323.97
RET-00110,ORD-000918,PROD-0041,2025-09-16,Item not as described,53.98
RET-00111,ORD-000933,PROD-0012,2025-07-13,Changed mind,119.98
RET-00112,ORD-000945,PROD-0013,2025-04-29,Changed mind,389.97
RET-00113,ORD-000954,PROD-0004,2025-03-31,Changed mind,37.99
RET-00114,ORD-000956,PROD-0018,2025-05-15,Wrong size,14.24
RET-00115,ORD-000956,PROD-0003,2025-05-14,Wrong size,179.98
RET-00116,ORD-000965,PROD-0024,2025-02-22,Changed mind,199.98
RET-00117,ORD-000971,PROD-0026,2025-03-03,Changed mind,79.98
RET-00118,ORD-000972,PROD-0048,2025-07-29,Wrong size,68.97
RET-00119,ORD-000978,PROD-0015,2025-12-06,Changed mind,53.98
RET-00120,ORD-000979,PROD-0008,2025-12-02,Defective item,89.97
RET-00121,ORD-000988,PROD-0045,2025-04-01,Changed mind,66.49
RET-00122,ORD-000996,PROD-0040,2025-11-26,Item not as described,59.37
RET-00123,ORD-001003,PROD-0015,2025-11-03,Item not as described,59.98
RET-00124,ORD-001009,PROD-0048,2025-11-18,Item not as described,21.84
RET-00125,ORD-001010,PROD-0022,2025-12-11,Changed mind,299.98
RET-00126,ORD-001015,PROD-0049,2025-09-11,Defective item,16.99
RET-00127,ORD-001017,PROD-0035,2025-02-14,Wrong size,119.98
RET-00128,ORD-001028,PROD-0037,2025-03-02,Wrong size,17.09
RET-00129,ORD-001044,PROD-0038,2025-06-07,Changed mind,269.97
RET-00130,ORD-001055,PROD-0022,2025-11-28,Changed mind,142.49
RET-00131,ORD-001064,PROD-0041,2025-07-23,Item not as described,56.98
RET-00132,ORD-001077,PROD-0044,2025-12-26,Item not as described,37.98
RET-00133,ORD-001083,PROD-0042,2025-11-01,Defective item,180.49
RET-00134,ORD-001099,PROD-0001,2025-07-17,Item not as described,359.98
RET-00135,ORD-001115,PROD-0011,2025-09-27,Wrong size,74.97
RET-00136,ORD-001129,PROD-0009,2025-05-01,Item not as described,34.99
RET-00137,ORD-001132,PROD-0006,2025-06-17,Item not as described,179.97
RET-00138,ORD-001135,PROD-0005,2025-04-23,Item not as described,559.98
RET-00139,ORD-001144,PROD-0048,2025-04-04,Changed mind,68.97
RET-00140,ORD-001189,PROD-0015,2025-04-10,Item not as described,29.99
RET-00141,ORD-001206,PROD-0019,2025-04-19,Wrong size,149.97
RET-00142,ORD-001208,PROD-0045,2025-03-27,Changed mind,62.99
RET-00143,ORD-001219,PROD-0037,2025-03-24,Changed mind,37.98
RET-00144,ORD-001223,PROD-0027,2025-03-05,Changed mind,149.97
RET-00145,ORD-001225,PROD-0048,2025-11-16,Changed mind,22.99
RET-00146,ORD-001228,PROD-0010,2025-06-12,Item not as described,89.98
RET-00147,ORD-001230,PROD-0030,2025-02-05,Changed mind,265.98
RET-00148,ORD-001235,PROD-0045,2025-06-12,Item not as described,209.97
RET-00149,ORD-001237,PROD-0007,2025-05-17,Defective item,149.97
RET-00150,ORD-001242,PROD-0004,2025-10-22,Wrong size,79.98
RET-00151,ORD-001243,PROD-0018,2025-04-27,Wrong size,44.97
