inventory_id,product_id,warehouse_id,stock_quantity,inventory_date
INV-00040,PROD-0014,WH-EAST-01,170,2026-01-01
INV-00041,PROD-0014,WH-WEST-02,159,2026-01-01
INV-00042,PROD-0014,WH-CENTRAL-03,101,2026-01-01
INV-00043,PROD-0015,WH-EAST-01,47,2026-01-01
INV-00044,PROD-0015,WH-WEST-02,121,2026-01-01
INV-00045,PROD-0015,WH-CENTRAL-03,53,2026-01-01
INV-00046,PROD-0016,WH-EAST-01,38,2026-01-01
INV-00047,PROD-0016,WH-WEST-02,221,2026-01-01
INV-00048,PROD-0016,WH-CENTRAL-03,48,2026-01-01
INV-00049,PROD-0017,WH-EAST-01,103,2026-01-01
INV-00050,PROD-0017,WH-WEST-02,39,2026-01-01
INV-00051,PROD-0017,WH-CENTRAL-03,116,2026-01-01
INV-00052,PROD-0018,WH-EAST-01,230,2026-01-01
INV-00053,PROD-0018,WH-WEST-02,218,2026-01-01
INV-00054,PROD-0018,WH-CENTRAL-03,35,2026-01-01
INV-00055,PROD-0019,WH-EAST-01,27,2026-01-01
INV-00056,PROD-0019,WH-WEST-02,80,2026-01-01
INV-00057,PROD-0019,WH-CENTRAL-03,42,2026-01-01
INV-00058,PROD-0020,WH-EAST-01,70,2026-01-01
INV-00059,PROD-0020,WH-WEST-02,60,2026-01-01
INV-00060,PROD-0020,WH-CENTRAL-03,206,2026-01-01
INV-00061,PROD-0021,WH-EAST-01,110,2026-01-01
INV-00062,PROD-0021,WH-WEST-02,175,2026-01-01
INV-00063,PROD-0021,WH-CENTRAL-03,40,2026-01-01
INV-00064,PROD-0022,WH-EAST-01,240,2026-01-01
INV-00065,PROD-0022,WH-WEST-02,217,2026-01-01
INV-00066,PROD-0022,WH-CENTRAL-03,194,2026-01-01
INV-00067,PROD-0023,WH-EAST-01,92,2026-01-01
INV-00068,PROD-0023,WH-WEST-02,245,2026-01-01
INV-00069,PROD-0023,WH-CENTRAL-03,172,2026-01-01
INV-00070,PROD-0024,WH-EAST-01,147,2026-01-01
INV-00071,PROD-0024,WH-WEST-02,183,2026-01-01
INV-00072,PROD-0024,WH-CENTRAL-03,87,2026-01-01
INV-00073,PROD-0025,WH-EAST-01,73,2026-01-01
INV-00074,PROD-0025,WH-WEST-02,177,2026-01-01
INV-00075,PROD-0025,WH-CENTRAL-03,43,2026-01-01
INV-00076,PROD-0026,WH-EAST-01,30,2026-01-01
INV-00077,PROD-0026,WH-WEST-02,178,2026-01-01
INV-00078,PROD-0026,WH-CENTRAL-03,136,2026-01-01
INV-00079,PROD-0027,WH-EAST-01,222,2026-01-01
INV-00080,PROD-0027,WH-WEST-02,136,2026-01-01
INV-00081,PROD-0027,WH-CENTRAL-03,167,2026-01-01
INV-00082,PROD-0028,WH-EAST-01,231,2026-01-01
INV-00083,PROD-0028,WH-WEST-02,249,2026-01-01
INV-00084,PROD-0028,WH-CENTRAL-03,15,2026-01-01
INV-00085,PROD-0029,WH-EAST-01,141,2026-01-01
INV-00086,PROD-0029,WH-WEST-02,193,2026-01-01
INV-00087,PROD-0029,WH-CENTRAL-03,131,2026-01-01
INV-00088,PROD-0030,WH-EAST-01,247,2026-01-01
INV-00089,PROD-0030,WH-WEST-02,157,2026-01-01
INV-00090,PROD-0030,WH-CENTRAL-03,248,2026-01-01
INV-00091,PROD-0031,WH-EAST-01,180,2026-01-01
INV-00092,PROD-0031,WH-WEST-02,163,2026-01-01
INV-00093,PROD-0031,WH-CENTRAL-03,30,2026-01-01
INV-00094,PROD-0032,WH-EAST-01,194,2026-01-01
INV-00095,PROD-0032,WH-WEST-02,164,2026-01-01
INV-00096,PROD-0032,WH-CENTRAL-03,243,2026-01-01
INV-00097,PROD-0033,WH-EAST-01,109,2026-01-01
INV-00098,PROD-0033,WH-WEST-02,42,2026-01-01
INV-00099,PROD-0033,WH-CENTRAL-03,168,2026-01-01
INV-00100,PROD-0034,WH-EAST-01,66,2026-01-01
INV-00101,PROD-0034,WH-WEST-02,190,2026-01-01
INV-00102,PROD-0034,WH-CENTRAL-03,84,2026-01-01
INV-00103,PROD-0035,WH-EAST-01,237,2026-01-01
INV-00104,PROD-0035,WH-WEST-02,215,2026-01-01
INV-00105,PROD-0035,WH-CENTRAL-03,187,2026-01-01
INV-00106,PROD-0036,WH-EAST-01,26,2026-01-01
INV-00107,PROD-0036,WH-WEST-02,173,2026-01-01
INV-00108,PROD-0036,WH-CENTRAL-03,158,2026-01-01
INV-00109,PROD-0037,WH-EAST-01,151,2026-01-01
INV-00110,PROD-0037,WH-WEST-02,179,2026-01-01
INV-00111,PROD-0037,WH-CENTRAL-03,102,2026-01-01
INV-00112,PROD-0038,WH-EAST-01,72,2026-01-01
INV-00113,PROD-0038,WH-WEST-02,61,2026-01-01
INV-00114,PROD-0038,WH-CENTRAL-03,56,2026-01-01
INV-00115,PROD-0039,WH-EAST-01,148,2026-01-01
INV-00116,PROD-0039,WH-WEST-02,91,2026-01-01
INV-00117,PROD-0039,WH-CENTRAL-03,211,2026-01-01
INV-00118,PROD-0040,WH-EAST-01,66,2026-01-01
INV-00119,PROD-0040,WH-WEST-02,232,2026-01-01
INV-00120,PROD-0040,WH-CENTRAL-03,39,2026-01-01
INV-00121,PROD-0041,WH-EAST-01,189,2026-01-01
INV-00122,PROD-0041,WH-WEST-02,77,2026-01-01
INV-00123,PROD-0041,WH-CENTRAL-03,247,2026-01-01
INV-00124,PROD-0042,WH-EAST-01,122,2026-01-01
INV-00125,PROD-0042,WH-WEST-02,250,2026-01-01
INV-00126,PROD-0042,WH-CENTRAL-03,52,2026-01-01
INV-00127,PROD-0043,WH-EAST-01,232,2026-01-01
INV-00128,PROD-0043,WH-WEST-02,98,2026-01-01
INV-00129,PROD-0043,WH-CENTRAL-03,175,2026-01-01
INV-00130,PROD-0044,WH-EAST-01,19,2026-01-01
INV-00131,PROD-0044,WH-WEST-02,98,2026-01-01
INV-00132,PROD-0044,WH-CENTRAL-03,141,2026-01-01
INV-00133,PROD-0045,WH-EAST-01,65,2026-01-01
INV-00134,PROD-0045,WH-WEST-02,62,2026-01-01
INV-00135,PROD-0045,WH-CENTRAL-03,67,2026-01-01
INV-00136,PROD-0046,WH-EAST-01,71,2026-01-01
INV-00137,PROD-0046,WH-WEST-02,248,2026-01-01
INV-00138,PROD-0046,WH-CENTRAL-03,56,2026-01-01
INV-00139,PROD-0047,WH-EAST-01,248,2026-01-01
INV-00140,PROD-0047,WH-WEST-02,213,2026-01-01
INV-00141,PROD-0047,WH-CENTRAL-03,13,2026-01-01
INV-00142,PROD-0048,WH-EAST-01,212,2026-01-01
INV-00143,PROD-0048,WH-WEST-02,181,2026-01-01
INV-00144,PROD-0048,WH-CENTRAL-03,66,2026-01-01
INV-00145,PROD-0049,WH-EAST-01,24,2026-01-01
INV-00146,PROD-0049,WH-WEST-02,25,2026-01-01
INV-00147,PROD-0049,WH-CENTRAL-03,185,2026-01-01
INV-00148,PROD-0050,WH-EAST-01,218,2026-01-01
INV-00149,PROD-0050,WH-WEST-02,98,2026-01-01
INV-00150,PROD-0050,WH-CENTRAL-03,222,2026-01-01
